split,metric,population,quantile,value,population_tile_count
val,water_fraction_valid,all_tiles,0.5,0.0,432
val,water_fraction_valid,all_tiles,0.75,0.011663185720235988,432
val,water_fraction_valid,all_tiles,0.9,0.08016266179234946,432
val,water_fraction_valid,all_tiles,0.95,0.14063742567818646,432
val,water_fraction_valid,all_tiles,0.99,0.3370063919504013,432
val,water_fraction_valid,all_tiles,1.0,0.7079541332155644,432
val,water_fraction_valid,positive_tiles,0.0,0.00012306480592680106,209
val,water_fraction_valid,positive_tiles,0.25,0.0039022592908941702,209
val,water_fraction_valid,positive_tiles,0.5,0.012041042918947892,209
val,water_fraction_valid,positive_tiles,0.75,0.05635890934874627,209
val,water_fraction_valid,positive_tiles,0.9,0.14429019643667484,209
val,water_fraction_valid,positive_tiles,0.95,0.2169443476278371,209
val,water_fraction_valid,positive_tiles,0.99,0.4958470387419458,209
val,water_fraction_valid,positive_tiles,1.0,0.7079541332155644,209
test,valid_fraction_source_pixels,all_tiles,0.0,0.0,432
test,valid_fraction_source_pixels,all_tiles,0.25,0.6791114807128906,432
test,valid_fraction_source_pixels,all_tiles,0.5,0.8569488525390625,432
test,valid_fraction_source_pixels,all_tiles,0.75,0.9334554257600204,432
test,valid_fraction_source_pixels,all_tiles,0.9,0.9679614523182745,432
test,valid_fraction_source_pixels,all_tiles,0.95,0.9820289611816406,432
test,valid_fraction_source_pixels,all_tiles,0.99,0.9973306274414062,432
test,valid_fraction_source_pixels,all_tiles,1.0,1.0,432
test,valid_fraction_source_pixels,positive_tiles,0.0,0.000518798828125,421
test,valid_fraction_source_pixels,positive_tiles,0.25,0.7076416015625,421
test,valid_fraction_source_pixels,positive_tiles,0.5,0.861114501953125,421
test,valid_fraction_source_pixels,positive_tiles,0.75,0.934478759765625,421
test,valid_fraction_source_pixels,positive_tiles,0.9,0.96832275390625,421
test,valid_fraction_source_pixels,positive_tiles,0.95,0.9820709228515625,421
test,valid_fraction_source_pixels,positive_tiles,0.99,0.9974548339843751,421
test,valid_fraction_source_pixels,positive_tiles,1.0,1.0,421
test,padding_fraction,all_tiles,0.0,0.0,432
test,padding_fraction,all_tiles,0.25,0.0,432
test,padding_fraction,all_tiles,0.5,0.0,432
test,padding_fraction,all_tiles,0.75,0.0,432
test,padding_fraction,all_tiles,0.9,0.28125,432
test,padding_fraction,all_tiles,0.95,0.28125,432
test,padding_fraction,all_tiles,0.99,0.28125,432
