split,metric,population,quantile,value,population_tile_count
val,vegetation_fraction_valid,positive_tiles,0.5,0.9375874588213846,432
val,vegetation_fraction_valid,positive_tiles,0.75,0.9727396582693051,432
val,vegetation_fraction_valid,positive_tiles,0.9,0.983226045609983,432
val,vegetation_fraction_valid,positive_tiles,0.95,0.9882898923763923,432
val,vegetation_fraction_valid,positive_tiles,0.99,0.9973054977060363,432
val,vegetation_fraction_valid,positive_tiles,1.0,0.999952712713975,432
val,bare_land_fraction_valid,all_tiles,0.0,0.0,432
val,bare_land_fraction_valid,all_tiles,0.25,0.0,432
val,bare_land_fraction_valid,all_tiles,0.5,0.0,432
val,bare_land_fraction_valid,all_tiles,0.75,0.0,432
val,bare_land_fraction_valid,all_tiles,0.9,0.005892625240949346,432
val,bare_land_fraction_valid,all_tiles,0.95,0.019021248531465362,432
val,bare_land_fraction_valid,all_tiles,0.99,0.0534410088710376,432
val,bare_land_fraction_valid,all_tiles,1.0,0.11905976366573152,432
val,bare_land_fraction_valid,positive_tiles,0.0,9.892175289346128e-05,82
val,bare_land_fraction_valid,positive_tiles,0.25,0.002686791056422855,82
val,bare_land_fraction_valid,positive_tiles,0.5,0.006638870903616878,82
val,bare_land_fraction_valid,positive_tiles,0.75,0.019771140217304865,82
val,bare_land_fraction_valid,positive_tiles,0.9,0.03763197247503398,82
val,bare_land_fraction_valid,positive_tiles,0.95,0.05510540918421536,82
val,bare_land_fraction_valid,positive_tiles,0.99,0.09927025119662222,82
val,bare_land_fraction_valid,positive_tiles,1.0,0.11905976366573152,82
val,water_fraction_valid,all_tiles,0.0,0.0,432
val,water_fraction_valid,all_tiles,0.25,0.0,432
val,water_fraction_valid,all_tiles,0.5,0.0,432
val,water_fraction_valid,all_tiles,0.75,0.011810714835725641,432
val,water_fraction_valid,all_tiles,0.9,0.08474410247460622,432
val,water_fraction_valid,all_tiles,0.95,0.14979514364141575,432
val,water_fraction_valid,all_tiles,0.99,0.33896040717459397,432
val,water_fraction_valid,all_tiles,1.0,0.708333990878533,432
val,water_fraction_valid,positive_tiles,0.0,0.00012330760314681002,209
val,water_fraction_valid,positive_tiles,0.25,0.004016448312135412,209
val,water_fraction_valid,positive_tiles,0.5,0.012133253602361066,209
val,water_fraction_valid,positive_tiles,0.75,0.05750427500328847,209
val,water_fraction_valid,positive_tiles,0.9,0.15095302886741369,209
val,water_fraction_valid,positive_tiles,0.95,0.21904987428511896,209
val,water_fraction_valid,positive_tiles,0.99,0.504614097857398,209
val,water_fraction_valid,positive_tiles,1.0,0.708333990878533,209
test,valid_fraction_source_pixels,all_tiles,0.0,0.0,432
test,valid_fraction_source_pixels,all_tiles,0.25,0.6722490061884341,432
test,valid_fraction_source_pixels,all_tiles,0.5,0.8514556884765625,432
test,valid_fraction_source_pixels,all_tiles,0.75,0.9302520751953125,432
test,valid_fraction_source_pixels,all_tiles,0.9,0.9652938842773438,432
test,valid_fraction_source_pixels,all_tiles,0.95,0.9799407958984375,432
test,valid_fraction_source_pixels,all_tiles,0.99,0.9958480834960938,432
test,valid_fraction_source_pixels,all_tiles,1.0,1.0,432
test,valid_fraction_source_pixels,positive_tiles,0.0,0.000518798828125,421
test,valid_fraction_source_pixels,positive_tiles,0.25,0.697509765625,421
test,valid_fraction_source_pixels,positive_tiles,0.5,0.8582305908203125,421
test,valid_fraction_source_pixels,positive_tiles,0.75,0.931915283203125,421
test,valid_fraction_source_pixels,positive_tiles,0.9,0.9659576416015625,421
test,valid_fraction_source_pixels,positive_tiles,0.95,0.98004150390625,421
test,valid_fraction_source_pixels,positive_tiles,0.99,0.9958648681640625,421
test,valid_fraction_source_pixels,positive_tiles,1.0,1.0,421
test,padding_fraction,all_tiles,0.0,0.0,432
test,padding_fraction,all_tiles,0.25,0.0,432
test,padding_fraction,all_tiles,0.5,0.0,432
test,padding_fraction,all_tiles,0.75,0.0,432
test,padding_fraction,all_tiles,0.9,0.28125,432
test,padding_fraction,all_tiles,0.95,0.28125,432
test,padding_fraction,all_tiles,0.99,0.28125,432
